Coalition/Party,parlimen,percentage_votes
Pakatan Harapan (PH),P.152 Kluang,52.08
Pakatan Harapan (PH),P.153 Sembrong,28.57
Pakatan Harapan (PH),P.154 Mersing,14.52
Pakatan Harapan (PH),P.155 Tenggara,22.63
Pakatan Harapan (PH),P.156 Kota Tinggi,10.36
Pakatan Harapan (PH),P.157 Pengerang,8.06
Pakatan Harapan (PH),P.158 Tebrau,49.99
Pakatan Harapan (PH),P.159 Pasir Gudang,47.72
Pakatan Harapan (PH),P.160 Johor Bahru,45.82
Pakatan Harapan (PH),P.161 Pulai,55.33
Pakatan Harapan (PH),P.162 Iskandar Puteri,59.15
Pakatan Harapan (PH),P.163 Kulai,56.86
Pakatan Harapan (PH),P.164 Pontian,27.97
Pakatan Harapan (PH),P.166 Labuan,18.65
Pakatan Harapan (PH),P.167 Kudat,10.48
Pakatan Harapan (PH),P.169 Kota Belud,15.4
Pakatan Harapan (PH),P.170 Tuaran,42.84
Pakatan Harapan (PH),P.171 Sepanggar,38.44
Pakatan Harapan (PH),P.172 Kota Kinabalu,71.08
